"ID";"FarmTypes";"Regions";"Periods";"UtilisedAgriculturalAreaUAA_3";"UtilisedAgriculturalAreaUAA_6";"ArableLandTotal_8";"Cereals_14";"ArableLandTotal_21";"Cereals_27";"HorticultureInTheOpenTotal_34";"HorticultureInTheOpenTotal_40";"HorticultureUnderGlassTotal_46";"HorticultureUnderGlassTotal_51";"GrasslandAndForagePlantsTotal_72";"GrasslandAndForagePlantsTotal_78";"CattleTotal_84";"Sheep_95";"GrazingLivestockTotal_102";"HousedAnimalsTotal_135"
"6718";"A009487";"PV20  ";"2022JJ00";"  144827";"      81";"   62668";"   26179";"      22";"      17";"   62194";"      60";"  676324";"      35";"   13202";"      26";"      37";"      17";"       7";"       1"
"6719";"A009487";"PV20  ";"2023JJ00";"  145324";"      78";"   61429";"   27469";"      31";"      20";"   62929";"      56";"  699977";"      34";"   13966";"      24";"       0";"       3";"       6";"       1"
"6720";"A009487";"PV21  ";"2000JJ00";"  176741";"     157";"   75882";"   15896";"      79";"      28";"   70457";"     111";"  696002";"      84";"   23442";"      40";"     222";"      61";"      13";"       1"
"6721";"A009487";"PV21  ";"2001JJ00";"  198843";"     153";"   90743";"   24035";"      72";"      28";"   67343";"     106";"  778499";"      85";"   32972";"      38";"     380";"     414";"      20";"       1"
"6722";"A009487";"PV21  ";"2002JJ00";"  168265";"     140";"   65345";"   16926";"      47";"      23";"   62452";"     101";"  850383";"      73";"   31964";"      37";"     201";"     647";"      13";"       0"
"6723";"A009487";"PV21  ";"2003JJ00";"  168544";"     149";"   66654";"   20101";"      48";"      24";"   68251";"     104";" 1153678";"      80";"   22102";"      32";"     291";"     133";"      11";"       1"
"6724";"A009487";"PV21  ";"2004JJ00";"  162593";"     139";"   57498";"   14233";"      48";"      25";"   68211";"      98";" 1035799";"      73";"   26526";"      28";"     194";"     205";"      14";"       1"
"6725";"A009487";"PV21  ";"2005JJ00";"  180576";"     132";"   73419";"   17544";"      49";"      22";"   69506";"      96";" 1129195";"      70";"   26359";"      28";"     105";"      77";"      10";"       1"
"6726";"A009487";"PV21  ";"2006JJ00";"  187047";"     128";"   78094";"   17335";"      41";"      22";"   73163";"      89";" 1219625";"      72";"   23594";"      26";"      88";"     118";"      10";"       1"
"6727";"A009487";"PV21  ";"2007JJ00";"  160484";"     120";"   59523";"   20850";"      34";"      19";"   76338";"      83";" 1349636";"      65";"   11127";"      19";"       0";"      74";"       6";"       0"
"6728";"A009487";"PV21  ";"2008JJ00";"  147596";"     113";"   56022";"   16782";"      40";"      24";"   68987";"      75";" 1169006";"      62";"   10897";"      21";"      32";"     365";"      11";"       0"
"6729";"A009487";"PV21  ";"2009JJ00";"  137092";"     100";"   48726";"   12851";"      35";"      18";"   61063";"      65";" 1216074";"      54";"   15142";"      22";"      26";"     135";"       9";"       1"
"6730";"A009487";"PV21  ";"2010JJ00";"  131174";"      91";"   39088";"    8885";"      31";"      15";"   62307";"      58";" 1387743";"      52";"   15902";"      22";"      26";"     112";"       9";"       1"
"6731";"A009487";"PV21  ";"2011JJ00";"  127971";"      88";"   37837";"   10899";"      29";"      14";"   67349";"      58";" 1385514";"      49";"    8930";"      23";"       0";"      98";"       9";"       1"
"6732";"A009487";"PV21  ";"2012JJ00";"  134023";"      80";"   36422";"    5973";"      28";"      12";"   70313";"      54";" 1447116";"      42";"   12817";"      22";"      10";"     117";"       9";"       0"
"6733";"A009487";"PV21  ";"2013JJ00";"  128332";"      69";"   33474";"   10705";"      22";"      11";"   70054";"      48";" 1425647";"      37";"   10548";"      20";"      13";"      99";"       8";"       0"
"6734";"A009487";"PV21  ";"2014JJ00";"  123493";"      70";"   23260";"    6881";"      20";"       7";"   69039";"      48";" 1348037";"      36";"   17714";"      23";"       1";"     112";"       5";"       0"
"6735";"A009487";"PV21  ";"2015JJ00";"  160186";"      76";"   32673";"    7475";"      26";"      10";"   79881";"      54";" 1321625";"      36";"   34416";"      21";"     269";"      76";"       8";"       0"
"6736";"A009487";"PV21  ";"2016JJ00";"  133453";"      72";"   30991";"    7452";"      24";"      10";"   77365";"      52";" 1315085";"      33";"   11946";"      19";"       9";"      48";"       6";"       0"
"6737";"A009487";"PV21  ";"2017JJ00";"  143219";"      70";"   30220";"    5635";"      21";"       7";"   83012";"      50";" 1477692";"      29";"   15210";"      21";"      40";"      40";"       5";"       0"
"6738";"A009487";"PV21  ";"2018JJ00";"  158104";"      71";"   33543";"    4789";"      28";"      12";"   93536";"      55";" 1362032";"      27";"   17405";"      29";"     176";"     229";"      11";"       1"
"6739";"A009487";"PV21  ";"2019JJ00";"  131223";"      61";"   23729";"    4473";"      18";"       7";"   82940";"      45";" 1189157";"      28";"   12662";"      19";"       0";"      19";"       5";"       1"
"6740";"A009487";"PV21  ";"2020JJ00";"  148253";"      68";"   23013";"    4081";"      18";"       5";"   93770";"      47";" 1288637";"      34";"   18584";"      19";"      34";"     105";"       6";"       0"
"6741";"A009487";"PV21  ";"2021JJ00";"  130574";"      58";"   17349";"    2845";"      15";"       4";"   92652";"      37";" 1227810";"      32";"    8295";"      19";"       0";"      46";"       5";"       0"
"6742";"A009487";"PV21  ";"2022JJ00";"  149891";"      52";"   30585";"    9531";"      14";"       9";"  103702";"      36";" 1023174";"      23";"    5372";"      15";"       0";"      73";"       2";"       0"
"6743";"A009487";"PV21  ";"2023JJ00";"  154313";"      54";"   32993";"    7979";"      17";"       8";"  104375";"      39";"  744427";"      22";"    9501";"      19";"       0";"      13";"       3";"       0"
"6744";"A009487";"PV22  ";"2000JJ00";"  277522";"     295";"  140560";"   46576";"     101";"      37";"   89267";"     183";" 2650275";"     184";"   21192";"      51";"     396";"      36";"      27";"       7"
"6745";"A009487";"PV22  ";"2001JJ00";"  310255";"     284";"  151140";"   57065";"      98";"      36";"  105293";"     178";" 2636574";"     173";"   27456";"      52";"     497";"      39";"      35";"       6"
"6746";"A009487";"PV22  ";"2002JJ00";"  318495";"     276";"  135794";"   50815";"      72";"      35";"  117337";"     175";" 2601760";"     168";"   39346";"      57";"     546";"     434";"      32";"       6"
"6747";"A009487";"PV22  ";"2003JJ00";"  365756";"     263";"  153395";"   66232";"      70";"      44";"  132123";"     165";" 2454543";"     158";"   55693";"      61";"    1005";"     534";"      32";"       5"
"6748";"A009487";"PV22  ";"2004JJ00";"  384408";"     253";"  149676";"   60948";"      68";"      44";"  129121";"     157";" 2718434";"     148";"   78427";"      61";"    1275";"     532";"      35";"       5"
"6749";"A009487";"PV22  ";"2005JJ00";"  286079";"     227";"  130170";"   54226";"      49";"      34";"  106643";"     137";" 2380224";"     139";"   25464";"      36";"     109";"     686";"      29";"       4"
"6750";"A009487";"PV22  ";"2006JJ00";"  347845";"     230";"  142420";"   55672";"      63";"      41";"  136417";"     146";" 2266362";"     126";"   46344";"      54";"     945";"      60";"      30";"       4"
"6751";"A009487";"PV22  ";"2007JJ00";"  358454";"     219";"  145015";"   64650";"      63";"      40";"  141329";"     143";" 2201661";"     112";"   50093";"      50";"    1018";"      71";"      31";"       3"
"6752";"A009487";"PV22  ";"2008JJ00";"  405045";"     207";"  177262";"   79078";"      65";"      49";"  156405";"     138";" 2295192";"     100";"   48426";"      57";"     676";"      62";"      23";"       2"
"6753";"A009487";"PV22  ";"2009JJ00";"  361493";"     180";"  151713";"   65239";"      54";"      38";"  141773";"     120";" 1973264";"      84";"   48274";"      54";"     554";"      69";"      22";"       3"
"6754";"A009487";"PV22  ";"2010JJ00";"  328021";"     164";"  105651";"   41624";"      47";"      36";"  148932";"     106";" 1926607";"      76";"   54172";"      56";"     552";"      94";"      24";"       1"
"6755";"A009487";"PV22  ";"2011JJ00";"  335710";"     155";"  115673";"   40325";"      50";"      32";"  162976";"     101";" 1859910";"      69";"   38462";"      50";"     515";"      70";"      22";"       2"
"6756";"A009487";"PV22  ";"2012JJ00";"  356974";"     145";"  114922";"   37085";"      44";"      29";"  177884";"      98";" 1640829";"      61";"   47760";"      47";"     685";"      54";"      17";"       2"
"6757";"A009487";"PV22  ";"2013JJ00";"  334383";"     134";"  108246";"   30712";"      44";"      26";"  171775";"      92";" 1541268";"      58";"   38949";"      41";"     560";"      55";"      15";"       0"
"6758";"A009487";"PV22  ";"2014JJ00";"  385750";"     131";"  128350";"   36372";"      46";"      26";"  196420";"      90";" 1359048";"      53";"   47390";"      47";"     639";"      36";"      16";"       2"
"6759";"A009487";"PV22  ";"2015JJ00";"  464227";"     145";"  130137";"   44204";"      58";"      37";"  221776";"     107";" 1470519";"      48";"   97609";"      62";"     823";"      54";"      21";"       2"
"6760";"A009487";"PV22  ";"2016JJ00";"  387927";"     129";"  101760";"   21388";"      48";"      27";"  211182";"      94";" 1501635";"      47";"   59969";"      57";"     677";"      95";"      16";"       0"
"6761";"A009487";"PV22  ";"2017JJ00";"  428410";"     129";"  109040";"   19435";"      47";"      23";"  247238";"      95";" 1496975";"      48";"   57162";"      52";"     734";"      58";"      15";"       0"
"6762";"A009487";"PV22  ";"2018JJ00";"  459571";"     130";"  123915";"   22414";"      46";"      26";"  259869";"      93";" 1487080";"      44";"   60916";"      56";"     652";"      58";"      15";"       0"
"6763";"A009487";"PV22  ";"2019JJ00";"  459921";"     132";"  136795";"   29957";"      47";"      30";"  250698";"      93";" 1691495";"      50";"   55513";"      53";"     662";"      90";"      16";"       3"
"6764";"A009487";"PV22  ";"2020JJ00";"  446830";"     136";"  126395";"   25574";"      51";"      26";"  248688";"      94";" 1789267";"      54";"   53854";"      49";"     701";"      47";"      13";"       2"
"6765";"A009487";"PV22  ";"2021JJ00";"  449253";"     137";"  126107";"   18048";"      49";"      23";"  258236";"      93";" 1755704";"      57";"   47353";"      51";"     725";"      60";"      16";"       3"
"6766";"A009487";"PV22  ";"2022JJ00";"  465903";"     146";"  146644";"   41952";"      47";"      29";"  255340";"      97";" 1970182";"      60";"   44217";"      52";"     703";"      57";"      11";"       2"
"6767";"A009487";"PV22  ";"2023JJ00";"  498063";"     133";"  174979";"   42638";"      56";"      28";"  253631";"      91";" 1866625";"      53";"   50787";"      52";"     684";"      61";"      13";"       1"
"6768";"A009487";"PV23  ";"2000JJ00";"  254934";"     341";"   75214";"   28518";"     116";"      28";"  110942";"     276";" 1008613";"     179";"   58692";"     150";"     424";"     693";"      63";"      10"
"6769";"A009487";"PV23  ";"2001JJ00";"  233210";"     331";"   67727";"   25983";"     108";"      25";"  109937";"     261";" 1039230";"     171";"   45154";"     133";"     615";"     757";"      66";"       9"
"6770";"A009487";"PV23  ";"2002JJ00";"  269030";"     321";"   76729";"   28248";"      88";"      29";"  135401";"     244";" 1143179";"     170";"   45468";"     124";"     617";"     679";"      66";"      10"
"6771";"A009487";"PV23  ";"2003JJ00";"  288497";"     310";"   96254";"   37314";"      80";"      34";"  127945";"     230";" 1246477";"     159";"   51833";"     127";"     701";"     624";"      64";"       9"
"6772";"A009487";"PV23  ";"2004JJ00";"  274207";"     297";"   82363";"   25958";"      85";"      37";"  122958";"     226";" 1261193";"     148";"   56274";"     118";"     728";"     288";"      60";"      11"
"6773";"A009487";"PV23  ";"2005JJ00";"  281573";"     291";"   69728";"   20608";"      61";"      26";"  138564";"     219";" 1254023";"     145";"   60741";"     113";"    1050";"     540";"      65";"       6"
"6774";"A009487";"PV23  ";"2006JJ00";"  321942";"     293";"   76836";"   17390";"      61";"      28";"  164219";"     231";" 1319233";"     136";"   67695";"     105";"    1514";"     563";"      60";"       9"
"6775";"A009487";"PV23  ";"2007JJ00";"  328391";"     282";"   81292";"   19647";"      55";"      24";"  166504";"     217";" 1434010";"     131";"   66255";"     103";"    1736";"     441";"      56";"      10"
"6776";"A009487";"PV23  ";"2008JJ00";"  348119";"     277";"   77379";"   17701";"      53";"      26";"  182131";"     212";" 1261508";"     123";"   75994";"     113";"    1432";"     486";"      66";"      13"
"6777";"A009487";"PV23  ";"2009JJ00";"  337289";"     274";"   69390";"   16389";"      56";"      30";"  180339";"     208";" 1367378";"     117";"   73886";"     121";"    1103";"     212";"      62";"       8"
"6778";"A009487";"PV23  ";"2010JJ00";"  345203";"     263";"   78572";"   23089";"      49";"      25";"  174409";"     203";" 1376363";"     109";"   78458";"     128";"    1569";"     262";"      64";"       9"
"6779";"A009487";"PV23  ";"2011JJ00";"  355784";"     249";"   79735";"   18834";"      54";"      29";"  182912";"     192";" 1396701";"     102";"   79170";"     118";"    1626";"     127";"      56";"       8"
"6780";"A009487";"PV23  ";"2012JJ00";"  373712";"     251";"   89790";"   18977";"      55";"      25";"  185883";"     195";" 1406016";"      98";"   83979";"     122";"    1685";"     199";"      60";"       5"
"6781";"A009487";"PV23  ";"2013JJ00";"  360539";"     229";"  100013";"   23406";"      52";"      28";"  178729";"     177";" 1345284";"      91";"   68344";"     110";"    1261";"     247";"      52";"       5"
"6782";"A009487";"PV23  ";"2014JJ00";"  349554";"     224";"   78097";"   18459";"      55";"      24";"  175695";"     174";" 1357238";"      82";"   82190";"     111";"    1135";"     313";"      46";"       5"
"6783";"A009487";"PV23  ";"2015JJ00";"  337691";"     216";"   53071";"   13691";"      54";"      28";"  165344";"     166";" 1204707";"      76";"  107229";"     124";"    1295";"     245";"      43";"       7"
"6784";"A009487";"PV23  ";"2016JJ00";"  291556";"     178";"   45764";"   11973";"      38";"      16";"  154693";"     136";" 1170380";"      60";"   79395";"     100";"    1613";"     424";"      35";"       3"
"6785";"A009487";"PV23  ";"2017JJ00";"  335567";"     188";"   58338";"    9380";"      51";"      16";"  173447";"     146";" 1334569";"      61";"   90436";"     109";"    1346";"     197";"      38";"       5"
"6786";"A009487";"PV23  ";"2018JJ00";"  303871";"     165";"   60669";"   10157";"      46";"      15";"  165477";"     131";" 1302346";"      53";"   64702";"      93";"    1020";"     245";"      31";"       2"
"6787";"A009487";"PV23  ";"2019JJ00";"  288865";"     166";"   56702";"   13175";"      43";"      21";"  154923";"     127";" 1517655";"      59";"   62063";"      88";"     774";"     327";"      23";"       2"
"6788";"A009487";"PV23  ";"2020JJ00";"  265909";"     173";"   51519";"    5876";"      39";"      17";"  134375";"     134";" 1487735";"      58";"   65138";"      93";"     518";"     376";"      30";"       2"
"6789";"A009487";"PV23  ";"2021JJ00";"  250090";"     177";"   39308";"    7184";"      38";"      16";"  134867";"     138";" 1674525";"      61";"   59170";"      98";"     411";"     486";"      25";"       3"
"6790";"A009487";"PV23  ";"2022JJ00";"  293712";"     184";"   70189";"   16574";"      53";"      19";"  144159";"     146";" 1649360";"      60";"   62870";"      99";"     353";"     352";"      20";"       5"
"6791";"A009487";"PV23  ";"2023JJ00";"  250040";"     174";"   47058";"   14948";"      52";"      19";"  130015";"     137";" 1716166";"      57";"   55805";"      88";"     332";"     220";"      19";"       4"
"6792";"A009487";"PV24  ";"2000JJ00";"  432783";"     253";"  170775";"   35138";"     136";"      60";"  238726";"     172";" 1655633";"     121";"    6726";"      22";"     163";"      17";"      23";"       2"
"6793";"A009487";"PV24  ";"2001JJ00";"  464650";"     249";"  173904";"   38853";"     135";"      57";"  257051";"     165";" 1723818";"     119";"   16457";"      29";"     151";"      41";"      16";"       1"
"6794";"A009487";"PV24  ";"2002JJ00";"  466027";"     245";"  179516";"   46515";"     114";"      66";"  258908";"     160";" 1797942";"     115";"    9624";"      32";"     105";"       7";"      15";"       4"
"6795";"A009487";"PV24  ";"2003JJ00";"  431830";"     239";"  155329";"   37675";"     106";"      60";"  244653";"     150";" 1788998";"     116";"   13958";"      35";"      85";"     169";"      19";"       3"
"6796";"A009487";"PV24  ";"2004JJ00";"  489414";"     238";"  183101";"   40838";"      94";"      61";"  272665";"     155";" 1879345";"     110";"   14855";"      34";"      51";"      24";"      14";"       2"
"6797";"A009487";"PV24  ";"2005JJ00";"  464258";"     221";"  177644";"   36076";"      90";"      55";"  255831";"     139";" 1926329";"     105";"   11520";"      21";"     191";"     250";"       9";"       1"
"6798";"A009487";"PV24  ";"2006JJ00";"  468823";"     224";"  163915";"   32804";"      92";"      53";"  275269";"     146";" 1970633";"      98";"    9933";"      19";"     160";"      15";"      10";"       1"
"6799";"A009487";"PV24  ";"2007JJ00";"  507893";"     228";"  179309";"   33422";"      91";"      53";"  297721";"     145";" 1942448";"      99";"   11439";"      22";"     186";"       0";"      10";"       1"
"6800";"A009487";"PV24  ";"2008JJ00";"  496198";"     210";"  166110";"   45466";"      79";"      51";"  300153";"     139";" 1916006";"      87";"   10775";"      26";"      21";"      10";"       9";"       2"
"6801";"A009487";"PV24  ";"2009JJ00";"  498615";"     207";"  166095";"   44915";"      82";"      51";"  304790";"     136";" 1805644";"      85";"    9674";"      25";"      62";"      33";"      10";"       0"
"6802";"A009487";"PV24  ";"2010JJ00";"  438054";"     194";"  130247";"   35195";"      74";"      37";"  281283";"     124";" 1829333";"      80";"    8231";"      25";"       0";"       5";"       7";"       0"
"6803";"A009487";"PV24  ";"2011JJ00";"  492152";"     188";"  149102";"   38303";"      71";"      44";"  313585";"     123";" 1802315";"      76";"   11442";"      33";"      37";"       0";"       7";"       0"
"6804";"A009487";"PV24  ";"2012JJ00";"  483352";"     186";"  154260";"   44102";"      74";"      48";"  301573";"     124";" 1683704";"      73";"   10682";"      33";"      21";"      34";"       7";"       1"
"6805";"A009487";"PV24  ";"2013JJ00";"  414746";"     169";"  111700";"   25476";"      56";"      27";"  274776";"     109";" 1665629";"      69";"   11614";"      34";"      52";"      16";"       7";"       1"
"6806";"A009487";"PV24  ";"2014JJ00";"  445752";"     163";"  132337";"   30535";"      65";"      36";"  282110";"     113";" 1602437";"      59";"   15281";"      33";"      26";"      17";"      11";"       0"
"6807";"A009487";"PV24  ";"2015JJ00";"  486648";"     171";"  142584";"   35164";"      77";"      37";"  304071";"     121";" 1986772";"      62";"   20125";"      48";"     100";"      16";"       8";"       2"
"6808";"A009487";"PV24  ";"2016JJ00";"  548136";"     169";"  175474";"   33603";"      85";"      35";"  319581";"     120";" 2758662";"      60";"   25494";"      51";"     105";"      62";"      13";"       2"
"6809";"A009487";"PV24  ";"2017JJ00";"  536141";"     181";"  168585";"   29212";"      90";"      38";"  310947";"     128";" 3002724";"      67";"   26582";"      56";"     130";"      66";"      16";"       1"
"6810";"A009487";"PV24  ";"2018JJ00";"  522600";"     180";"  163222";"   39877";"      90";"      45";"  304258";"     128";" 3191760";"      61";"   23202";"      48";"     114";"      49";"      19";"       0"
"6811";"A009487";"PV24  ";"2019JJ00";"  490892";"     176";"  140476";"   37530";"      84";"      45";"  290849";"     127";" 3998375";"      69";"   19583";"      50";"     103";"      41";"      14";"       0"
"6812";"A009487";"PV24  ";"2020JJ00";"  508266";"     186";"  145008";"   34231";"      91";"      48";"  298555";"     133";" 3778097";"      67";"   26922";"      62";"      83";"      25";"      16";"       1"
"6813";"A009487";"PV24  ";"2021JJ00";"  547094";"     194";"  166283";"   43174";"      85";"      47";"  316770";"     137";" 3841992";"      69";"   25621";"      60";"     162";"      19";"      12";"       0"
"6814";"A009487";"PV24  ";"2022JJ00";"  554779";"     197";"  167527";"   40676";"      91";"      54";"  315084";"     141";" 4199297";"      64";"   30175";"      57";"     164";"      23";"       8";"       0"
"6815";"A009487";"PV24  ";"2023JJ00";"  602393";"     198";"  194680";"   51085";"     117";"      53";"  318769";"     149";" 4114622";"      59";"   47798";"      77";"     150";"      27";"      18";"       1"
"6816";"A009487";"PV25  ";"2000JJ00";"  550029";"    1479";"  105746";"   36075";"     613";"      88";"  256617";"     905";" 6677350";"     997";"  120892";"     472";"    1913";"    1611";"     183";"      28"
"6817";"A009487";"PV25  ";"2001JJ00";"  489640";"    1383";"   94749";"   37346";"     548";"      82";"  240228";"     827";" 6712871";"     948";"   87534";"     401";"     882";"    1286";"     163";"      20"
"6818";"A009487";"PV25  ";"2002JJ00";"  542827";"    1338";"   94017";"   34041";"     290";"      73";"  274076";"     803";" 6636874";"     902";"  108365";"     400";"    1435";"    2463";"     160";"      15"
"6819";"A009487";"PV25  ";"2003JJ00";"  546451";"    1313";"   84746";"   41338";"     275";"      92";"  277270";"     774";" 6751548";"     888";"  116920";"     417";"    1523";"    1470";"     162";"      18"
"6820";"A009487";"PV25  ";"2004JJ00";"  558598";"    1271";"   85651";"   37792";"     260";"      84";"  265191";"     777";" 7097774";"     853";"  136778";"     392";"    1243";"    1584";"     155";"      19"
"6821";"A009487";"PV25  ";"2005JJ00";"  527984";"    1210";"   67078";"   25844";"     178";"      63";"  273265";"     729";" 7074106";"     819";"  116900";"     280";"    1204";"    1338";"     147";"      22"
"6822";"A009487";"PV25  ";"2006JJ00";"  513021";"    1131";"   75980";"   34363";"     152";"      66";"  268469";"     679";" 7052602";"     775";"   98046";"     227";"    1498";"    1263";"     141";"      11"
"6823";"A009487";"PV25  ";"2007JJ00";"  550008";"    1099";"   74972";"   33560";"     166";"      63";"  299107";"     659";" 7287300";"     729";"  103056";"     219";"    1342";"    1085";"     127";"      15"
"6824";"A009487";"PV25  ";"2008JJ00";"  557721";"    1018";"   71476";"   40868";"     148";"      63";"  303156";"     613";" 6804923";"     656";"  115040";"     255";"    1738";"    1378";"     118";"      13"
"6825";"A009487";"PV25  ";"2009JJ00";"  588186";"     986";"   79321";"   39764";"     163";"      65";"  321085";"     610";" 6769142";"     614";"  120089";"     263";"    1069";"    1905";"     114";"      17"
"6826";"A009487";"PV25  ";"2010JJ00";"  541483";"     905";"   72030";"   34988";"     147";"      53";"  307728";"     565";" 6467072";"     555";"   97054";"     240";"     687";"    1130";"      96";"      12"
"6827";"A009487";"PV25  ";"2011JJ00";"  566871";"     892";"   83460";"   36993";"     158";"      46";"  315437";"     575";" 6474371";"     521";"  103230";"     246";"     601";"    1173";"      90";"      19"
"6828";"A009487";"PV25  ";"2012JJ00";"  538508";"     860";"   64601";"   29254";"     151";"      46";"  315270";"     567";" 5970954";"     490";"   98927";"     239";"     488";"    1080";"      92";"      18"
"6829";"A009487";"PV25  ";"2013JJ00";"  530015";"     805";"   64188";"   26087";"     154";"      43";"  306260";"     520";" 5944490";"     463";"  100122";"     221";"     641";"     992";"      83";"      10"
"6830";"A009487";"PV25  ";"2014JJ00";"  536493";"     758";"   58751";"   18602";"     141";"      36";"  311072";"     485";" 5863767";"     425";"  108032";"     216";"     557";"     739";"      77";"       6"
"6831";"A009487";"PV25  ";"2015JJ00";"  530633";"     734";"   61996";"   18481";"     169";"      43";"  309998";"     479";" 5402775";"     376";"  104611";"     218";"     227";"     882";"      75";"       8"
"6832";"A009487";"PV25  ";"2016JJ00";"  479125";"     632";"   56870";"   14825";"     138";"      36";"  300740";"     416";" 5017492";"     328";"   71340";"     186";"     226";"     594";"      59";"       8"
"6833";"A009487";"PV25  ";"2017JJ00";"  479969";"     606";"   56536";"   13164";"     122";"      32";"  306584";"     423";" 4321378";"     288";"   73635";"     183";"     126";"     796";"      54";"       8"
"6834";"A009487";"PV25  ";"2018JJ00";"  511144";"     583";"   61983";"   17295";"     127";"      33";"  317867";"     410";" 4498923";"     261";"   86305";"     182";"    1088";"     389";"      59";"       4"
"6835";"A009487";"PV25  ";"2019JJ00";"  528537";"     600";"   77493";"   28347";"     130";"      35";"  320284";"     399";" 6167720";"     307";"   69083";"     183";"     201";"     347";"      41";"       4"
"6836";"A009487";"PV25  ";"2020JJ00";"  522280";"     620";"   65526";"   18045";"     121";"      35";"  316957";"     410";" 6357822";"     322";"   76219";"     194";"     643";"     322";"      47";"       6"
"6837";"A009487";"PV25  ";"2021JJ00";"  559616";"     645";"   73945";"   21668";"     130";"      37";"  329057";"     420";" 7241575";"     338";"   84198";"     193";"     794";"     363";"      47";"       5"
"6838";"A009487";"PV25  ";"2022JJ00";"  545280";"     632";"   73283";"   25447";"     137";"      48";"  323320";"     417";" 7173136";"     316";"   76946";"     179";"     531";"     342";"      29";"       5"
"6839";"A009487";"PV25  ";"2023JJ00";"  568007";"     637";"   77556";"   27600";"     145";"      46";"  326125";"     435";" 6971517";"     309";"   94611";"     191";"     508";"     202";"      50";"       6"
"6840";"A009487";"PV26  ";"2000JJ00";"   79212";"     273";"   10786";"       0";"      82";"       0";"   31961";"     179";" 1864917";"     204";"   17816";"      72";"     119";"     431";"      25";"       2"
"6841";"A009487";"PV26  ";"2001JJ00";"   76470";"     243";"    7625";"    1622";"      72";"       4";"   31869";"     159";" 1819642";"     176";"   18780";"      59";"     173";"     699";"      25";"       2"
"6842";"A009487";"PV26  ";"2002JJ00";"   76945";"     228";"    4430";"    1811";"      30";"       3";"   38498";"     150";" 1752954";"     159";"   16487";"      55";"     119";"     781";"      24";"       4"
"6843";"A009487";"PV26  ";"2003JJ00";"   79344";"     217";"    8148";"    4297";"      30";"       6";"   32097";"     147";" 1456125";"     148";"   24538";"      59";"     140";"     632";"      27";"       5"
"6844";"A009487";"PV26  ";"2004JJ00";"   65181";"     206";"    3190";"    1236";"      21";"       6";"   33542";"     141";" 1360804";"     139";"   14841";"      60";"     128";"     726";"      29";"       4"
"6845";"A009487";"PV26  ";"2005JJ00";"   54497";"     200";"    2883";"    1024";"      23";"       5";"   25314";"     136";" 1387329";"     131";"   12427";"      39";"     124";"     630";"      27";"       6"
"6846";"A009487";"PV26  ";"2006JJ00";"   56965";"     184";"    2993";"     773";"      20";"       5";"   25370";"     120";" 1344000";"     112";"   15162";"      44";"     127";"     732";"      30";"       6"
"6847";"A009487";"PV26  ";"2007JJ00";"   57717";"     174";"    3521";"    1466";"      20";"       4";"   23532";"     115";" 1446745";"     115";"   16197";"      39";"     156";"     710";"      28";"       6"
"6848";"A009487";"PV26  ";"2008JJ00";"   61174";"     164";"    3123";"     772";"      24";"       6";"   26970";"     111";" 1412389";"      98";"   16957";"      36";"     172";"     581";"      27";"       3"
"6849";"A009487";"PV26  ";"2009JJ00";"   54561";"     152";"    3011";"     840";"      22";"       5";"   23418";"     105";" 1339118";"      87";"   14741";"      32";"     152";"     262";"      26";"       3"
"6850";"A009487";"PV26  ";"2010JJ00";"   51203";"     139";"    3016";"    1130";"      18";"       2";"   23206";"      91";" 1280219";"      82";"   12179";"      31";"      67";"     181";"      18";"       2"
"6851";"A009487";"PV26  ";"2011JJ00";"   53354";"     137";"    3014";"    1213";"      16";"       2";"   23006";"      92";" 1294498";"      78";"   14389";"      35";"     135";"     179";"      25";"       3"
"6852";"A009487";"PV26  ";"2012JJ00";"   55585";"     135";"    2498";"     282";"      20";"       3";"   27863";"      90";" 1313276";"      73";"   12091";"      34";"     119";"     183";"      19";"       3"
"6853";"A009487";"PV26  ";"2013JJ00";"   42604";"     124";"    1658";"     241";"      19";"       2";"   17912";"      83";" 1301723";"      70";"   10017";"      30";"      56";"     161";"      15";"       5"
"6854";"A009487";"PV26  ";"2014JJ00";"   44072";"     121";"    1267";"      62";"      18";"       1";"   21997";"      80";" 1200524";"      67";"    8803";"      26";"      52";"     128";"      11";"       0"
"6855";"A009487";"PV26  ";"2015JJ00";"   48159";"     110";"    3319";"    2622";"      17";"       4";"   25681";"      79";" 1027544";"      55";"    8884";"      23";"      76";"     197";"       9";"       3"
"6856";"A009487";"PV26  ";"2016JJ00";"   39063";"      94";"    1644";"    1258";"      11";"       2";"   21693";"      58";"  922721";"      52";"    6499";"      17";"      35";"     152";"       7";"       2"
"6857";"A009487";"PV26  ";"2017JJ00";"   38157";"      84";"    1945";"     914";"      10";"       3";"   23474";"      56";"  833860";"      42";"    4399";"      18";"      11";"      97";"       7";"       3"
"6858";"A009487";"PV26  ";"2018JJ00";"   35860";"      76";"    2245";"     747";"       6";"       2";"   21594";"      49";"  801548";"      41";"    4006";"      16";"      17";"     140";"       9";"       3"
"6859";"A009487";"PV26  ";"2019JJ00";"   34644";"      78";"    1416";"     630";"       7";"       1";"   20935";"      52";"  795590";"      40";"    4337";"      18";"      22";"      90";"       8";"       3"
